,知识点 (点击链接学习),类型,模块,计划学习时间,完成状态,附件
原型链,https://github.com/mqyqingfeng/Blog/issues/2,javascript,前端基础,2021/2/18 0:00,未开始,
继承,https://github.com/mqyqingfeng/Blog/issues/16,javascript,前端基础,2021/2/18 0:00,未开始,
作用域,https://github.com/mqyqingfeng/Blog/issues/6,javascript,前端基础,2021/2/18 0:00,复习中,
闭包,https://github.com/mqyqingfeng/Blog/issues/9,javascript,前端基础,2021/2/18 0:00,已完成，待复习,
变量提升,https://github.com/mqyqingfeng/Blog/issues/5,javascript,前端基础,2021/2/19 0:00,已掌握,
this的指向,https://github.com/mqyqingfeng/Blog/issues/7,javascript,前端基础,2021/2/19 0:00,已完成，待复习,
立即执行,https://segmentfault.com/a/1190000003985390,javascript,前端基础,2021/2/19 0:00,未开始,
instanceof原理,https://juejin.cn/post/6844903613584654344,javascript,前端基础,2021/2/19 0:00,已完成，待复习,
bind实现,https://github.com/mqyqingfeng/Blog/issues/12,javascript,前端基础,2021/2/20 0:00,未开始,
apply与call,https://segmentfault.com/a/1190000018017796,javascript,前端基础,2021/2/20 0:00,未开始,
柯里化,https://github.com/mqyqingfeng/Blog/issues/42,javascript,前端基础,2021/2/20 0:00,未开始,
v8垃圾回收机制,https://juejin.cn/post/6844904016325902344,javascript,前端基础,2021/2/20 0:00,未开始,
浮点数精度,https://github.com/mqyqingfeng/Blog/issues/155,javascript,前端基础,2021/2/21 0:00,未开始,
new操作符,https://github.com/mqyqingfeng/Blog/issues/13,javascript,前端基础,2021/2/21 0:00,已完成，待复习,
事件循环机制,https://zhuanlan.zhihu.com/p/33058983,javascript,前端基础,2021/2/21 0:00,未开始,
promise原理,https://juejin.cn/post/6844904063570542599,javascript,前端基础,2021/2/22 0:00,未开始,
generator原理,http://www.alloyteam.com/2016/02/generators-in-depth/,javascript,前端基础,2021/2/22 0:00,已完成，待复习,
盒子模型,https://segmentfault.com/a/1190000013069516,css,前端基础,2021/2/23 0:00,未开始,
css选择器,https://segmentfault.com/a/1190000013424772,css,前端基础,2021/2/23 0:00,未开始,
BFC,https://zhuanlan.zhihu.com/p/25321647,css,前端基础,2021/2/23 0:00,未开始,
position,https://developer.mozilla.org/zh-CN/docs/Learn/CSS/CSS_layout/%E5%AE%9A%E4%BD%8D,css,前端基础,2021/2/23 0:00,未开始,
flex布局,https://developer.mozilla.org/zh-CN/docs/Web/CSS/CSS_Flexible_Box_Layout/Basic_Concepts_of_Flexbox,css,前端基础,2021/2/23 0:00,进行中,
css优先级,https://zhuanlan.zhihu.com/p/41604775,css,前端基础,2021/2/23 0:00,进行中,
双飞翼/圣杯布局,https://juejin.cn/post/6844903817104850952,css,前端基础,2021/2/24 0:00,未开始,
css3新特性,https://segmentfault.com/a/1190000010780991,css,前端基础,2021/2/24 0:00,未开始,
css样式隔离,https://juejin.cn/post/6844904034281734151#heading-9,css,前端基础,2021/2/24 0:00,未开始,
css性能优化,https://blog.csdn.net/weixin_43883485/article/details/103504171,css,前端基础,2021/2/24 0:00,未开始,
层叠上下文,https://www.zhangxinxu.com/wordpress/2016/01/understand-css-stacking-context-order-z-index/,css,前端基础,2021/2/24 0:00,未开始,
div居中,https://juejin.cn/post/6844903821529841671,css,前端基础,2021/2/24 0:00,未开始,
浮动,https://segmentfault.com/a/1190000012739764,css,前端基础,2021/2/24 0:00,未开始,
行内元素、块级元素,https://www.cnblogs.com/yc8930143/p/7237456.html,html&浏览器,前端基础,2021/2/25 0:00,未开始,
跨标签页通信,https://juejin.cn/post/6844903811232825357,html&浏览器,前端基础,2021/2/25 0:00,未开始,
history、hash路由,https://blog.csdn.net/Charissa2017/article/details/104779412,html&浏览器,前端基础,2021/2/25 0:00,未开始,
dom树,https://blog.poetries.top/browser-working-principle/guide/part5/lesson22.html#javascript-%E6%98%AF%E5%A6%82%E4%BD%95%E5%BD%B1%E5%93%8D-dom-%E7%94%9F%E6%88%90%E7%9A%84,html&浏览器,前端基础,2021/2/25 0:00,未开始,
事件模型,https://javascript.ruanyifeng.com/dom/event.html,html&浏览器,前端基础,2021/2/26 0:00,已掌握,
缓存策略,https://juejin.cn/post/6844903593275817998,html&浏览器,前端基础,2021/2/26 0:00,未开始,
浏览器架构,https://xie.infoq.cn/article/5d36d123bfd1c56688e125ad3,html&浏览器,前端基础,2021/2/26 0:00,未开始,
浏览器工作原理,https://www.html5rocks.com/zh/tutorials/internals/howbrowserswork/,html&浏览器,前端基础,2021/2/27 0:00,未开始,
内存泄露,https://segmentfault.com/a/1190000020231307,html&浏览器,前端基础,2021/2/27 0:00,未开始,
前端性能优化指标RAIL,https://juejin.cn/post/6850037273312886797,性能,前端基础,2021/2/28 0:00,未开始,
前端性能优化手段,https://alienzhou.com/projects/fe-performance-journey/#%E6%97%85%E9%80%94%E7%9A%84%E8%A1%8C%E7%A8%8B%E8%B7%AF%E7%BA%BF,性能,前端基础,2021/2/28 0:00,未开始,performance-checklist-1.4.pdf
重排和重绘,https://juejin.cn/post/6844904083212468238,性能,前端基础,2021/2/28 0:00,未开始,
白屏,https://cloud.tencent.com/developer/article/1508941,性能,前端基础,2021/2/28 0:00,未开始,
大量图片加载优化,https://zhuanlan.zhihu.com/p/33370207,性能,前端基础,2021/3/1 0:00,未开始,
描述下浏览器从输入网址到页面展现的整个过程,https://www.jianshu.com/p/d616d887953a,性能,前端基础,2021/3/1 0:00,已掌握,
动画性能,https://www.jianshu.com/p/d24a891d4de6,性能,前端基础,2021/3/2 0:00,未开始,
渲染合成层,https://segmentfault.com/a/1190000014520786,性能,前端基础,2021/3/2 0:00,未开始,
模块化机制,https://segmentfault.com/a/1190000017466120,工程化,前端基础,2021/3/3 0:00,已掌握,
tree shaking,https://juejin.cn/post/6844903544756109319,工程化,前端基础,2021/3/3 0:00,未开始,
uglify原理,https://www.h5w3.com/19480.html,工程化,前端基础,2021/3/4 0:00,未开始,
babel原理,https://my.oschina.net/u/4088983/blog/4545928,工程化,前端基础,2021/3/4 0:00,未开始,
webpack工作流程,https://developer.aliyun.com/article/61047,工程化,前端基础,2021/3/5 0:00,未开始,
webpack插件机制,https://juejin.cn/post/6844903789804126222,工程化,前端基础,2021/3/5 0:00,未开始,
webpack loader机制,https://github.com/youngwind/blog/issues/101,工程化,前端基础,2021/3/5 0:00,未开始,
前端微服务,https://tech.antfin.com/community/articles/536,工程化,前端基础,2021/3/6 0:00,未开始,
合成事件,https://juejin.cn/post/6844903988794671117,React,框架,2021/3/7 0:00,未开始,
virtual dom,https://segmentfault.com/a/1190000019994425,React,框架,2021/3/7 0:00,未开始,
setState过程,https://juejin.cn/post/6844903781813993486,React,框架,2021/3/7 0:00,未开始,
fiber,https://zhuanlan.zhihu.com/p/57346388,React,框架,2021/3/8 0:00,未开始,
高阶组件,https://zhuanlan.zhihu.com/p/24776678,React,框架,2021/3/9 0:00,未开始,
错误处理,https://github.com/HuJiaoHJ/blog/issues/12,React,框架,2021/3/9 0:00,未开始,
性能优化,https://github.com/brickspert/blog/issues/36,React,框架,2021/3/9 0:00,未开始,
redux核心原则,https://cn.redux.js.org/docs/introduction/ThreePrinciples.html,Redux,框架,2021/3/10 0:00,未开始,
redux核心逻辑,https://tech.meituan.com/2017/07/14/redux-design-code.html,Redux,框架,2021/3/10 0:00,未开始,
数据绑定原理,https://juejin.cn/post/6844903869730799629,Vue,框架,2021/3/11 0:00,未开始,
computed和watch,https://www.cnblogs.com/tugenhua0707/p/11760466.html,Vue,框架,2021/3/11 0:00,未开始,
slot,https://juejin.cn/post/6844903927129849864,Vue,框架,2021/3/11 0:00,未开始,
next tick原理,https://www.cnblogs.com/leiting/p/13174545.html,Vue,框架,2021/3/11 0:00,未开始,
keep alive,https://juejin.cn/post/6844903950886371342,Vue,框架,2021/3/11 0:00,未开始,
斐波那契数列,https://leetcode-cn.com/problems/fibonacci-number/,算法,算法,2021/3/12 0:00,未开始,
合并而为有序数组成一维有序数组,https://leetcode-cn.com/problems/he-bing-liang-ge-pai-xu-de-lian-biao-lcof/,算法,算法,2021/3/12 0:00,复习中,
链表，反转链表,https://leetcode-cn.com/problems/fan-zhuan-lian-biao-lcof/,算法,算法,2021/3/12 0:00,未开始,
链表，链表有环,https://leetcode-cn.com/problems/linked-list-cycle/,算法,算法,2021/3/12 0:00,未开始,
堆栈队列：判断括号字符串是否有效,https://leetcode-cn.com/problems/valid-parenthesis-string/,算法,算法,2021/3/13 0:00,未开始,
返回数组中第k个最大元素,https://leetcode-cn.com/problems/kth-largest-element-in-an-array/,算法,算法,2021/3/13 0:00,未开始,
找出数组中和为sum的n个数,https://wizardforcel.gitbooks.io/the-art-of-programming-by-july/content/02.03.html,算法,算法,2021/3/13 0:00,未开始,
贪心：具有给定数值的最小字符串,https://leetcode-cn.com/problems/smallest-string-with-a-given-numeric-value/,算法,算法,2021/3/13 0:00,未开始,
二叉树：最大深度,https://leetcode-cn.com/problems/er-cha-shu-de-shen-du-lcof/,算法,算法,2021/3/14 0:00,未开始,
二叉树：层次遍历,https://leetcode-cn.com/problems/binary-tree-level-order-traversal/,算法,算法,2021/3/14 0:00,未开始,
剪枝：判断数独是否有效,https://leetcode-cn.com/problems/valid-sudoku/,算法,算法,2021/3/14 0:00,未开始,
二分查找：求解平方根,https://leetcode-cn.com/problems/sqrtx/,算法,算法,2021/3/14 0:00,未开始,
字典树：实现一个字典树,https://leetcode-cn.com/problems/implement-trie-prefix-tree/,算法,算法,2021/3/15 0:00,未开始,
爬楼梯问题,https://leetcode-cn.com/problems/climbing-stairs/,算法,算法,2021/3/15 0:00,未开始,
最短距离,https://leetcode-cn.com/problems/shortest-distance-to-a-character/,算法,算法,2021/3/15 0:00,未开始,
LRU缓存,https://leetcode-cn.com/problems/lru-cache/,算法,算法,2021/3/16 0:00,未开始,
翻转二叉树,https://leetcode-cn.com/problems/invert-binary-tree/,算法,算法,2021/3/16 0:00,未开始,
实现一个trim方法,https://www.cnblogs.com/rubylouvre/archive/2009/09/18/1568794.html,编程题,算法,2021/3/17 0:00,未开始,
实现一个deepClone方法,https://cloud.tencent.com/developer/article/1497418,编程题,算法,2021/3/17 0:00,未开始,
实现add(1)(2)(3),https://juejin.cn/post/6844904093467541517,编程题,算法,2021/3/17 0:00,已掌握,
大数相加,https://zhuanlan.zhihu.com/p/72179476,编程题,算法,2021/3/17 0:00,未开始,
拍平数组,https://segmentfault.com/a/1190000021366004,编程题,算法,2021/3/17 0:00,进行中,
防抖函数,https://github.com/mqyqingfeng/Blog/issues/22,编程题,算法,2021/3/18 0:00,未开始,
节流函数,https://github.com/mqyqingfeng/Blog/issues/26,编程题,算法,2021/3/18 0:00,未开始,
实现字符串翻转,https://leetcode-cn.com/problems/reverse-string/,编程题,算法,2021/3/18 0:00,未开始,
数组去重,https://github.com/mqyqingfeng/Blog/issues/27,编程题,算法,2021/3/18 0:00,未开始,
实现千位分隔符,https://www.jianshu.com/p/928c68f92c0c,编程题,算法,2021/3/18 0:00,未开始,
判断是否是回文数,https://leetcode-cn.com/problems/palindrome-number/,编程题,算法,2021/3/19 0:00,未开始,
实现一个模版引擎,https://github.com/mqyqingfeng/Blog/issues/63,编程题,算法,2021/3/19 0:00,未开始,
判断一个数是否是素数,https://blog.csdn.net/huang_miao_xin/article/details/51331710,编程题,算法,2021/3/19 0:00,未开始,
获取n以内所有的素数,https://leetcode-cn.com/problems/count-primes/solution/ru-he-gao-xiao-pan-ding-shai-xuan-su-shu-by-labula/,编程题,算法,2021/3/19 0:00,未开始,
进程和线程,https://juejin.cn/post/6844903801321685000,操作系统,基础,2021/3/20 0:00,未开始,
进程通信,https://www.jianshu.com/p/c1015f5ffa74,操作系统,基础,2021/3/20 0:00,未开始,
进程调度策略,https://blog.csdn.net/qq_35642036/article/details/82809812,操作系统,基础,2021/3/20 0:00,未开始,
死锁,https://www.jianshu.com/p/44125bb12ebf,操作系统,基础,2021/3/20 0:00,未开始,
IO多路复用,https://imageslr.github.io/2020/02/27/select-poll-epoll.html,操作系统,基础,2021/3/20 0:00,未开始,
七层网络模型,https://zhuanlan.zhihu.com/p/32059190,网络,基础,2021/3/21 0:00,未开始,
http,https://coolshell.cn/articles/19840.html,网络,基础,2021/3/21 0:00,未开始,
https,https://zhuanlan.zhihu.com/p/26682342,网络,基础,2021/3/21 0:00,未开始,
http2.0,https://juejin.cn/post/6844903984524705800,网络,基础,2021/3/21 0:00,未开始,
http3.0,https://blog.csdn.net/wolfGuiDao/article/details/108729560,网络,基础,2021/3/21 0:00,未开始,
websocket,https://blog.csdn.net/LL845876425/article/details/106393358,网络,基础,2021/3/21 0:00,未开始,
tcp,https://coolshell.cn/articles/11564.html,网络,基础,2021/3/22 0:00,未开始,
udp,https://zhuanlan.zhihu.com/p/337678680,网络,基础,2021/3/22 0:00,未开始,
模块机制,https://juejin.cn/post/6844904030905303054,Node,大前端,2021/3/23 0:00,未开始,
require原理,http://www.ruanyifeng.com/blog/2015/05/require.html,Node,大前端,2021/3/23 0:00,未开始,
事件循环,https://learnku.com/articles/38802,Node,大前端,2021/3/23 0:00,未开始,
cluster原理,https://www.cnblogs.com/dashnowords/p/10958457.html,Node,大前端,2021/3/23 0:00,未开始,
流机制,https://www.barretlee.com/blog/2017/06/06/dive-to-nodejs-at-stream-module/,Node,大前端,2021/3/24 0:00,未开始,
pipe原理,https://cloud.tencent.com/developer/article/1630068,Node,大前端,2021/3/24 0:00,未开始,
守护进程,https://juejin.cn/post/6844903444839399438,Node,大前端,2021/3/25 0:00,未开始,
进程通信,http://www.ayqy.net/blog/nodejs%E8%BF%9B%E7%A8%8B%E9%97%B4%E9%80%9A%E4%BF%A1/,Node,大前端,2021/3/25 0:00,未开始,
异常处理,http://www.alloyteam.com/2013/12/node-js-series-exception-caught/,Node,大前端,2021/3/25 0:00,未开始,
,https://refactoringguru.cn/design-patterns,设计架构,其他,2021/3/26 0:00,未开始,
,https://www.jianshu.com/p/f667ea3e4a11,设计架构,其他,2021/3/29 0:00,未开始,
,https://zhuanlan.zhihu.com/p/79899786,设计架构,其他,2021/3/30 0:00,未开始,
,https://blog.csdn.net/zhangli_/article/details/50419783,设计架构,其他,2021/3/30 0:00,未开始,
,https://www.jianshu.com/p/4b754ea48a40,设计架构,其他,2021/3/30 0:00,未开始,
,https://bitable.feishu.cn/appqZ3ER93h8KtHXoQBX1DcER4c?table=tblyCmQgadfXai2c&view=vewExxoMGY,其他,其他,2021/3/31 0:00,未开始,
,https://zhuanlan.zhihu.com/p/139064270,其他,其他,2021/3/31 0:00,未开始,
,https://zhuanlan.zhihu.com/p/139952856,其他,其他,2021/3/31 0:00,未开始,
